SKU,Name1,Name2
ST20231208_105101_NEW YEAR SAME CHAOS LETS ROLL WITH IT,"NEW YEAR, SAME CHAOS.",LET'S ROLL WITH IT
ST20231208_105102_NEW YEAR NEW ME SAME OLD SARCASM,"NEW YEAR, NEW ME?",SAME OLD SARCASM
ST20231208_105103_RESOLUTIONS THINGS I PRETEND TO CONSIDER SERIOUSLY,"RESOLUTIONS, THINGS I",PRETEND TO CONSIDER SERIOUSLY
ST20231208_105104_MAY YOUR COFFEE BE STRONG AND YOUR RESOLUTIONS WEAK,MAY YOUR COFFEE BE STRONG,AND YOUR RESOLUTIONS WEAK
ST20231208_105105_MAY YOUR RESOLUTIONS LAST LONGER THAN LEFTOVERS,MAY YOUR RESOLUTIONS LAST,LONGER THAN LEFTOVERS
ST20231208_105106_NEW YEAR NEW EXCUSES FOR BEING A HOT MESS,"NEW YEAR, NEW EXCUSES",FOR BEING A HOT MESS
ST20231208_105107_2024 BECAUSE ADULTING IS HARD AND BORING,"2024, BECAUSE ADULTING",IS HARD AND BORING
ST20231208_105108_RESOLUTIONS ARE OVERRATED BRING ON THE CHAOS,RESOLUTIONS ARE,OVERRATED. BRING ON THE CHAOS!
ST20231208_105109_RESOLUTIONS IM FLUENT IN PROCRASTINATION THANK YOU,RESOLUTIONS? I'M FLUENT IN,"PROCRASTINATION, THANK YOU"
ST20231208_105110_NEW YEAR NEW PLAYLIST SAME QUESTIONABLE DECISIONS,"NEW YEAR, NEW PLAYLIST,",SAME QUESTIONABLE DECISIONS
ST20231208_105111_MAY YOUR RESOLUTIONS BE MORE BELIEVABLE THAN MINE,MAY YOUR RESOLUTIONS BE,MORE BELIEVABLE THAN MINE
ST20231208_105112_MAY YOUR WI-FI STAY STRONG UNLIKE YOUR RESOLUTIONS,"MAY YOUR WI-FI STAY STRONG,",UNLIKE YOUR RESOLUTIONS
ST20231208_105113_MAY YOUR WI-FI BE STRONG AND YOUR COFFEE STRONGER,MAY YOUR WI-FI BE STRONG,AND YOUR COFFEE STRONGER
ST20231208_105114_NEW YEAR NEW DIET JUST KIDDING PASS THE CAKE,"NEW YEAR, NEW DIET. JUST","KIDDING, PASS THE CAKE"
ST20231208_105115_NEW YEARS RESOLUTION SURVIVE ADULTHOOD SO FAR SO GOOD,"NEW YEAR'S RESOLUTION, SURVIVE","ADULTHOOD. SO FAR, SO GOOD"
ST20231208_105116_NEW YEAR SAME OLD ME SORRY NOT SORRY,"NEW YEAR, SAME OLD","ME. SORRY, NOT SORRY"
ST20231208_105117_MAY YOUR MEMES BE DANK AND YOUR RESOLUTIONS NONEXISTENT,MAY YOUR MEMES BE DANK AND,YOUR RESOLUTIONS NONEXISTENT
ST20231208_105118_CHEERS TO A YEAR OF ENDLESS MEMES,CHEERS TO A YEAR,OF ENDLESS MEMES
ST20231208_105119_NEW YEAR SAME PROBLEMS AT LEAST WERE CONSISTENT,"NEW YEAR, SAME PROBLEMS. AT",LEAST WE'RE CONSISTENT
ST20231208_105120_NEW YEAR NEW EXCUSES FOR BEING LAZY,"NEW YEAR, NEW",EXCUSES FOR BEING LAZY
ST20231208_105121_THIS YEARS GOAL LESS ADULTING MORE NAPPING,"THIS YEAR'S GOAL, LESS","ADULTING, MORE NAPPING"
ST20231208_105122_RESOLUTIONS ARE LIKE DIETS  THEY START TOMORROW,RESOLUTIONS ARE LIKE DIETS, THEY START TOMORROW
ST20231208_105123_NEW YEARS RESOLUTION PROCRASTINATE MORE EFFICIENTLY,"NEW YEAR'S RESOLUTION,",PROCRASTINATE MORE EFFICIENTLY
ST20231208_105124_THIS YEARS GOAL PRETEND TO ADULT CONVINCINGLY,"THIS YEAR'S GOAL, PRETEND",TO ADULT CONVINCINGLY
ST20231208_105125_MAY YOUR RESOLUTIONS LAST LONGER THAN MINE,MAY YOUR RESOLUTIONS,LAST LONGER THAN MINE
ST20231208_105126_MAY YOUR SNACKS BE PLENTY AND YOUR PANTS FORGIVING,MAY YOUR SNACKS BE PLENTY,AND YOUR PANTS FORGIVING
ST20231208_105127_MAY YOUR WI-FI BE STRONG AND YOUR RESOLUTIONS WEAK,MAY YOUR WI-FI BE STRONG,AND YOUR RESOLUTIONS WEAK
ST20231208_105128_RESOLUTION BE AS AWESOME AS MY DOG THINKS,"RESOLUTION, BE AS",AWESOME AS MY DOG THINKS
ST20231208_105129_RESOLUTION EAT MORE TACOS STRESS LESS,"RESOLUTION, EAT MORE","TACOS, STRESS LESS"
ST20231208_105130_RESOLUTIONS ARE LIKE CATS THEY IGNORE YOU ALL YEAR,"RESOLUTIONS ARE LIKE CATS,",THEY IGNORE YOU ALL YEAR
ST20231208_105131_NEW YEAR NEW ME NAH LETS NOT,"NEW YEAR, NEW ME?","NAH, LET'S NOT"
ST20231208_105132_365 NEW DAYS TO PROCRASTINATE AGAIN,365 NEW DAYS TO,PROCRASTINATE AGAIN
ST20231208_105133_MORE PIZZA LESS KALE  2024 GOALS,"MORE PIZZA, LESS",KALE  2024 GOALS
ST20231208_105134_NEW YEAR NEW ME JUST KIDDING SAME CHAOS,"NEW YEAR, NEW ME... JUST","KIDDING, SAME CHAOS"
ST20231208_105135_NEW YEAR NEW GOALS JUST KIDDING SAME LAZINESS,"NEW YEAR, NEW GOALS... JUST","KIDDING, SAME LAZINESS"
ST20231208_105136_2024 THE YEAR MY SNACKS MULTIPLY,"2024, THE YEAR MY",SNACKS MULTIPLY
ST20231208_105137_MAY YOUR NETFLIX ACCOUNT OUTLAST YOUR RESOLUTIONS,MAY YOUR NETFLIX ACCOUNT,OUTLAST YOUR RESOLUTIONS
ST20231208_105138_MAY YOUR RESOLUTIONS LAST LONGER THAN YOUR PHONE BATTERY,MAY YOUR RESOLUTIONS LAST,LONGER THAN YOUR PHONE BATTERY
ST20231208_105139_CHEERS TO A NEW YEAR AND ANOTHER CHANCE TO FAIL,CHEERS TO A NEW YEAR AND,ANOTHER CHANCE TO FAIL
ST20231208_105140_MAY YOUR RESOLUTIONS BE MORE SUCCESSFUL THAN MINE,MAY YOUR RESOLUTIONS BE,MORE SUCCESSFUL THAN MINE
ST20231208_105141_RESOLUTIONS ARE FOR THE AMBITIOUS PASS,RESOLUTIONS ARE FOR,THE AMBITIOUS. PASS
ST20231208_105142_THIS YEARS GOAL PERFECT THE ART OF NAPPING,"THIS YEAR'S GOAL,",PERFECT THE ART OF NAPPING
ST20231208_105143_RESOLUTION BE AS FABULOUS AS MY DOG,"RESOLUTION, BE AS",FABULOUS AS MY DOG
ST20231208_105144_RESOLUTIONS ARE OVERRATED BRING ON THE SNACKS,RESOLUTIONS ARE,OVERRATED. BRING ON THE SNACKS!
ST20231208_105145_RESOLUTIONS A TO-DO LIST FOR THE FIRST WEEK,"RESOLUTIONS, A TO-DO",LIST FOR THE FIRST WEEK
ST20231208_105146_RESOLUTIONS THE TO-DO LIST FOR THE FIRST WEEK,"RESOLUTIONS, THE TO-DO",LIST FOR THE FIRST WEEK
ST20231208_105147_WISHING YOU 12 MONTHS OF GOOD HAIR DAYS,WISHING YOU 12 MONTHS,OF GOOD HAIR DAYS
ST20231208_105148_NEW YEAR NEW CALENDAR SAME QUESTIONABLE DECISIONS,"NEW YEAR, NEW CALENDAR.",SAME QUESTIONABLE DECISIONS
ST20231208_105149_NEW YEAR NEW ME JUST KIDDING SAME MESS,"NEW YEAR, NEW ME...","JUST KIDDING, SAME MESS"
ST20231208_105150_NEW YEAR NEW GYM MEMBERSHIP CARD COLLECTING DUST,"NEW YEAR, NEW GYM",MEMBERSHIP CARD COLLECTING DUST
ST20231208_105151_NEW YEAR NEW GYM ROUTINE CANCELING IT NEXT WEEK,"NEW YEAR, NEW GYM ROUTINE.",CANCELING IT NEXT WEEK
ST20231208_105152_NEW YEAR OLD ME JUST MORE CAFFEINATED,"NEW YEAR, OLD ME...",JUST MORE CAFFEINATED
ST20231208_105153_MORE NETFLIX BINGING FEWER RESOLUTIONS FAILING,"MORE NETFLIX BINGING,",FEWER RESOLUTIONS FAILING
ST20231208_105154_NEW YEAR NEW ME STILL BUFFERING,"NEW YEAR, NEW ME?",STILL BUFFERING..
ST20231208_105155_NEW YEAR SAME CHAOS PREDICTABLE AS ALWAYS,"NEW YEAR, SAME CHAOS.",PREDICTABLE AS ALWAYS
ST20231208_105157_ANOTHER YEAR ANOTHER ROUND OF BROKEN PROMISES,"ANOTHER YEAR, ANOTHER",ROUND OF BROKEN PROMISES
ST20231208_105158_RESOLUTIONS ARE FOR PEOPLE WITH TIME TO WASTE,RESOLUTIONS ARE FOR,PEOPLE WITH TIME TO WASTE
ST20231208_105159_NEW YEAR SAME ME MORE SNACKS,"NEW YEAR, SAME","ME, MORE SNACKS"
