SKU,Name1,Name2
ST20231209_090108_IT WAS REAL TO ME,IT WAS,REAL TO ME
ST20231209_090109_IF YOU WANNA BE SOMEBODY,IF YOU WANNA,BE SOMEBODY
ST20231209_090110_PEACE LEFT THE BUILDING,PEACE LEFT,THE BUILDING
ST20231209_090111_CRUISE CONTROL FOR AMERICAS POUCH POSSE,CRUISE CONTROL FOR,AMERICA'S POUCH POSSE
ST20231209_090112_I SPEAK FLUENTLY IN MOVIE,I SPEAK,FLUENTLY IN MOVIE
ST20231209_090113_RACE TIP TOASTER USES JET FUEL,"RACE TIP, TOASTER",USES JET FUEL
ST20231209_090114_IM SILENTLY JUDGING YOUR WIRING,I'M SILENTLY,JUDGING YOUR WIRING
ST20231209_090115_I BELIEVE IN THE POWER OF LOVE,I BELIEVE IN THE,POWER OF LOVE
ST20231209_090116_WE ARE STILL GOOD,WE ARE,STILL GOOD
ST20231209_090117_IM SILENTLY CORRECTING YOUR GRAMMAR,IM SILENTLY,CORRECTING YOUR GRAMMAR
ST20231209_090118_DEBATE TEAM WE HAVE ISSUES,DEBATE TEAM WE,HAVE ISSUES
ST20231209_090119_AS YOU CAN SEE IM A LOT HAPPIER,"AS YOU CAN SEE,",I'M A LOT HAPPIER
ST20231209_090120_HOPE YOUR DAY IS AS EVENTFUL AS MY SOCK DRAWER,HOPE YOUR DAY IS AS,EVENTFUL AS MY SOCK DRAWER
ST20231209_090121_ANONYMOUS WAS A WOMAN,ANONYMOUS,WAS A WOMAN
ST20231209_090122_SOMETIMES IT BE LIKE THAT,SOMETIMES IT,BE LIKE THAT
ST20231209_090123_ONLY ACT LIKE I KNOW EVERYTHING,ONLY ACT LIKE I,KNOW EVERYTHING
ST20231209_090125_BOOKS THE BEST WEAPONS IN THE WORLD,BOOKS! THE BEST,WEAPONS IN THE WORLD!
ST20231209_090126_YOURE NOT MY SUPERVISOR,YOU'RE NOT MY,SUPERVISOR
ST20231209_090127_IM SO SICK OF CONGRESS,I'M SO SICK,OF CONGRESS
ST20231209_090128_MY BROOM BROKE SO I BECAME AN ACCOUNTANT,MY BROOM BROKE SO I,BECAME AN ACCOUNTANT
ST20231209_090129_FIND WHAT YOU LOVE LET IT KILL YOU,FIND WHAT YOU LOVE,LET IT KILL YOU
ST20231209_090130_ILL BRING THE BAD DECISIONS,I'LL BRING THE,BAD DECISIONS
ST20231209_090131_DONT LET THE HARD DAYS WIN,DON'T LET THE,HARD DAYS WIN.
ST20231209_090132_YUHHH GET INTO IT,YUHHH GET,INTO IT
ST20231209_090133_SHE LEAVES A LITTLE SPARKLE WHEREVER SHE GOES,SHE LEAVES A LITTLE,SPARKLE WHEREVER SHE GOES
ST20231209_090134_GUARDIANS OF THE SIERRA DEFENDERS OF TAHOES BLUE,"GUARDIANS OF THE SIERRA,",DEFENDERS OF TAHOE'S BLUE
ST20231209_090135_TOASTER ROADRUNNER OF BREAKFAST LANES,"TOASTER, ROADRUNNER",OF BREAKFAST LANES
ST20231209_090136_EXPLORE THE WILD SIDE OF LIFES GRAND TAPESTRY,EXPLORE THE WILD SIDE OF,LIFE'S GRAND TAPESTRY
ST20231209_090137_NO SLEEPING ON THE TRIP,NO SLEEPING,ON THE TRIP
ST20231209_090138_SIMPLE IS NOT EASY,SIMPLE IS,NOT EASY
ST20231209_090140_GOOD THINGS ARE AHEAD,GOOD THINGS,ARE AHEAD
ST20231209_090141_I EXIST WITHOUT MY CONSENT,I EXIST WITHOUT,MY CONSENT
ST20231209_090142_CUSTOMERS ARE NOT RIGHT ON MY SHIFT,CUSTOMERS ARE NOT,RIGHT ON MY SHIFT
ST20231209_090143_PUT A BIRD ON IT,PUT A BIRD,ON IT
ST20231209_090144_IM RIGHT ON TOP OF THAT ROSE,IM RIGHT ON TOP,OF THAT ROSE
ST20231209_090145_GODDAMN ITS GOOD TO BE A GHOST HUNTER,"GODDAMN, IT'S GOOD TO",BE A GHOST HUNTER
