SKU,Name1,Name2
ST20240127_053813_TO ALL THE BOYS IVE LOVED BEFORE,TO ALL THE BOYS,I'VE LOVED BEFORE
ST20240127_053814_HIS FAVORITE HER FAVORITE,HIS FAVORITE,HER FAVORITE
ST20240127_053815_IM A DOG TOO,I'M A,DOG TOO
ST20240127_053816_MY DOG THINKS IM COOL,MY DOG THINKS,I'M COOL
ST20240127_053817_TWO THINGS I DO WELL MAKE DOGS HAPPY AND PISS PEOPLE OFF,"TWO THINGS I DO WELL, MAKE",DOGS HAPPY AND PISS PEOPLE OFF
ST20240127_053818_GET OFF MY TAIL IM NOT IN HEAT,"GET OFF MY TAIL,",I'M NOT IN HEAT
ST20240127_053819_IF I CANT BRING MY DOG IM NOT GOING,IF I CAN'T BRING MY,DOG I'M NOT GOING
ST20240127_053820_YOU KNOW WHAT I LIKE ABOUT PEOPLE THEIR DOGS,YOU KNOW WHAT I LIKE,ABOUT PEOPLE THEIR DOGS
ST20240127_053821_IM ONLY TALKING TO MY DOG TODAY,I'M ONLY TALKING,TO MY DOG TODAY
ST20240127_053822_MY DOGS AND I TALK SHIT ABOUT YOU,MY DOGS AND I TALK,SHIT ABOUT YOU
ST20240127_053823_MY DOG ISNT SPOILED IM JUST WELL TRAINED,"MY DOG ISN'T SPOILED,",I'M JUST WELL TRAINED
ST20240127_053824_THE MORE PEOPLE I MEET THE MORE I LIKE MY DOG,THE MORE PEOPLE I MEET,THE MORE I LIKE MY DOG
ST20240127_053825_VET TECH DEGREE IN PROGRESS,VET TECH DEGREE,IN PROGRESS
ST20240127_053826_MAMA DIDNT RAISE NO COMMIE,MAMA DIDN'T,RAISE NO COMMIE
ST20240127_053827_SOUNDS GAY IM IN,"SOUNDS GAY,",I'M IN
ST20240127_053828_YOU GET OFF YOUR DAMN PHONE,YOU GET OFF,YOUR DAMN PHONE
ST20240127_053829_ONLY UGLY PEOPLE TAILGATE ME,ONLY UGLY PEOPLE,TAILGATE ME
ST20240127_053830_HELEN KELLER WAS NOT REAL,HELEN KELLER,WAS NOT REAL
ST20240127_053831_MY DOG TILTS HIS HEAD THE SAME,MY DOG TILTS HIS,HEAD THE SAME
ST20240127_053832_TAKING A DOG NAMED SHARK TO THE BEACH IS A BAD IDEA,TAKING A DOG NAMED SHARK TO,THE BEACH IS A BAD IDEA
ST20240127_053833_HOUSE IS NOT A HOME WITHOUT A BASET HOUND,HOUSE IS NOT A HOME,WITHOUT A BASET HOUND
ST20240127_053834_HOUSE IS NOT A HOME WITHOUT A DUG,HOUSE IS NOT A,HOME WITHOUT A DUG
ST20240127_053835_WE CAN DO IT,WE CAN,DO IT
ST20240127_053836_WE CAN DO HARD THINGS,WE CAN DO,HARD THINGS
ST20240127_053837_NO UTERUS NO OPINION,NO UTERUS NO,OPINION
ST20240127_053838_I CAN EXPLAIN IT TO YOU BUT I CANT UNDERSTAND IT FOR YOU,I CAN EXPLAIN IT TO YOU BUT I,CANT UNDERSTAND IT FOR YOU
ST20240127_053840_I DO IT FOR THE GIRLS AND THE GAYS THATS IT,I DO IT FOR THE GIRLS,AND THE GAYS THATS IT
ST20240127_053841_GOT ANY UPDOG,GOT ANY,UPDOG?
ST20240127_053842_WERE ADULTS WHEN DID THAT HAPPEN AND HOW DO WE MAKE IT STOP,WE'RE ADULTS. WHEN DID THAT,HAPPEN? AND HOW DO WE MAKE IT STOP?
ST20240127_053843_ITS A JOKE NOT A DICK DONT TAKE IT SO HARD,"IT'S A JOKE, NOT A DICK,",DON'T TAKE IT SO HARD!
ST20240127_053844_THE THINGS WE DO TODAY WILL BE TOMORROWS NEWS,THE THINGS WE DO TODAY,WILL BE TOMORROW'S NEWS
ST20240127_053845_IF YOU DONT LEAP YOULL NEVER KNOW WHAT IT IS LIKE TO,IF YOU DON'T LEAP YOU'LL,NEVER KNOW WHAT IT IS LIKE TO
ST20240127_053846_DO NOT TAKE LIFE TOO SERIOUSLY YOU WILL NEVER GET OUT OF IT ALIVE,DO NOT TAKE LIFE TOO SERIOUSLY. YOU,WILL NEVER GET OUT OF IT ALIVE
ST20240127_053847_KEEP CALM AND LET IT BE,KEEP CALM AND,LET IT BE
ST20240127_053848_I DIDNT DO IT,I DIDN'T,DO IT
ST20240127_053849_DO WHAT IS RIGHT NOT WHAT IS EASY,DO WHAT IS RIGHT,NOT WHAT IS EASY
ST20240127_053850_IM NOT RACIST I DONT LIKE BIDEN EITHER,I'M NOT RACIST I DON'T,LIKE BIDEN EITHER
ST20240127_053851_BIDEN ARE YOU REGRET YOUR VOTE YET,BIDEN! ARE YOU,REGRET YOUR VOTE YET?
ST20240127_053852_WE CAN DO BETTER,WE CAN DO,BETTER
ST20240127_053853_WE DONT SCHLUMP LIKE THIS,WE DONT,SCHLUMP LIKE THIS
ST20240127_053854_DONT LET THE PONY TAIL FOOL YOU,DON'T LET THE PONY,TAIL FOOL YOU
ST20240127_053855_SPILLING THE TEA SINCE 1773,SPILLING THE,TEA SINCE 1773
