SKU,Name1,Name2
ST20231219_162804_LOST TO A TOASTER TOASTED EGO,LOST TO A TOASTER,TOASTED EGO?
ST20231219_162805_A DAY WITHOUT READING IS A DAY WASTED,A DAY WITHOUT,READING IS A DAY WASTED
ST20231219_162806_STAY SINGLE ANTI VALENTINE,STAY SINGLE,ANTI VALENTINE
ST20231219_162807_I AM BEING PERFECTLY FUCKING CIVIL,I AM BEING,PERFECTLY FUCKING CIVIL
ST20231219_162808_BE THE CHAOS TRANSPARENT,BE THE CHAOS,TRANSPARENT
ST20231219_162809_NEVER HALF-ASS TWO THINGS,NEVER HALF-ASS,TWO THINGS
ST20231219_162810_BE A KIND HUMAN,BE A KIND,HUMAN.
ST20231219_162811_SORRY IM LATE DIDNT WANT TO COME,SORRY I'M LATE,DIDN'T WANT TO COME
ST20231219_162812_BORN WITH A COMPASS GUIDED BY THE WINDS OF ADVENTURE,"BORN WITH A COMPASS, GUIDED",BY THE WINDS OF ADVENTURE
ST20231219_162813_NOBODY CARES WORK HARDER,NOBODY CARES,WORK HARDER
ST20231219_162814_COULD YOU UNHOOK THE CLAW,COULD YOU,UNHOOK THE CLAW?
ST20231219_162815_REMEMBER THAT YOU HAVE TO DIE,REMEMBER THAT,YOU HAVE TO DIE
ST20231219_162816_STILL LEARNING HOW TO LOVE,STILL LEARNING,HOW TO LOVE
ST20231219_162817_CAMPING TURNS ORDINARY DAYS INTO EXTRAORDINARY STORIES AROUND THE CAMPFIRE,CAMPING TURNS ORDINARY DAYS INTO,EXTRAORDINARY STORIES AROUND THE CAMPFIRE
ST20231219_162818_GO AHEAD MAKE MY DAY,"GO AHEAD,",MAKE MY DAY
ST20231219_162819_OH YEAH TERRIBLY FUNNY REALLY WITTY,"OH YEAH, TERRIBLY",FUNNY REALLY WITTY
ST20231219_162820_YOUR HOLES IS MY GOAL CONSTRUCTION,YOUR HOLES IS MY,GOAL CONSTRUCTION
ST20231219_162821_KEEP CALM AND MAKE ART,KEEP CALM AND,MAKE ART
ST20231219_162822_EVEN DUCT TAPE CANT FIX STUPID,EVEN DUCT TAPE,CAN'T FIX STUPID
ST20231219_162823_MY EYES ARE CIRCLES,MY EYES ARE,CIRCLES
ST20231219_162824_A TALE OF TWO CITIES,A TALE OF,TWO CITIES
ST20231219_162825_THE GREATEST EXAMPLE OF LOVE YOULL EVER WITNESS,THE GREATEST EXAMPLE OF,LOVE YOU'LL EVER WITNESS
ST20231219_162827_YOU SEE ME YOU SEE ME MORE,"YOU SEE ME, YOU",SEE ME MORE
ST20231219_162828_ITS COMING RIGHT FOR US,IT'S COMING,RIGHT FOR US!
ST20231219_162829_DO YOUR BEST NOW,DO YOUR,BEST NOW
ST20231219_162830_YOU REALLY THINK DEATH CAN STOP ME,YOU REALLY THINK,DEATH CAN STOP ME?
ST20231219_162831_SLOW DOWN YOURE DOING FINE,"SLOW DOWN,",YOU'RE DOING FINE
ST20231219_162832_I MAY NOT AGREE WITH A WORD YOU SAY,I MAY NOT AGREE,WITH A WORD YOU SAY
ST20231219_162833_NO ONE IS ALONE,NO ONE IS,ALONE
ST20231219_162834_FOURTH WING SPINE DRAGONS,FOURTH WING,SPINE DRAGONS
ST20231219_162835_DONT BREAK MY HEART,DON'T BREAK,MY HEART
ST20231219_162836_I BECAME A CHILDCARE WORKER FOR THE MONEY AND FAME,I BECAME A CHILDCARE WORKER,FOR THE MONEY AND FAME
ST20231219_162837_DEFENDERS OF BLUE GUARDIANS OF TAHOES TIMELESS ESSENCE,"DEFENDERS OF BLUE, GUARDIANS",OF TAHOE'S TIMELESS ESSENCE
ST20231219_162838_SUCH IS THE LIFE OF AN ADVENTURER,SUCH IS THE LIFE,OF AN ADVENTURER
ST20231219_162839_BECAUSE MY LIFE IS DOPE I DO DOPE SHIT,BECAUSE MY LIFE IS,DOPE I DO DOPE SHIT
ST20231219_162840_I NEVER ARGUE I EXPLAIN,"I NEVER ARGUE,",I EXPLAIN
ST20231219_162841_I DRINK AND I GROW THINGS,I DRINK AND I,GROW THINGS
ST20231219_162842_ADVENTURE CALLS AND THE WILD ANSWER,"ADVENTURE CALLS, AND",THE WILD ANSWER
ST20231219_162843_ALWAYS COLD SO COLD,"ALWAYS COLD,",SO COLD
ST20231219_162844_DONT DREAM IT BE IT,DON'T DREAM,"IT, BE IT"
ST20231219_162845_NO ARGUING ABOUT THE CHOICE OF TV CHANNEL,NO ARGUING ABOUT THE,CHOICE OF TV CHANNEL
ST20231219_162846_THE FIRST RULE OF HUMAN RESOURCES IS COFFEE,THE FIRST RULE OF HUMAN,RESOURCES IS COFFEE
ST20231219_162847_SOUNDS LIKE A YOU PROBLEM,SOUNDS LIKE A,YOU PROBLEM
ST20231219_162848_I KNOW WHAT IM ABOUT SON,I KNOW WHAT I'M,"ABOUT, SON."
ST20231219_162849_I BECAME A MOTEL CLEANER FOR THE MONEY AND FAME,I BECAME A MOTEL CLEANER,FOR THE MONEY AND FAME
ST20231219_162850_HE IS HALF MY SOUL,HE IS HALF,MY SOUL
ST20231219_162851_LOST TO A TOASTER TOAST-WORTHY,LOST TO A TOASTER,TOAST-WORTHY?
ST20231219_162852_HIGHLY CAFFEINATED & WILDLY AMBITIOUS,HIGHLY CAFFEINATED &,WILDLY AMBITIOUS
ST20231219_162853_LIVE BY THE SUN LOVE BY THE MOON,"LIVE BY THE SUN,",LOVE BY THE MOON!
ST20231219_162854_SAY IT BEFORE ITS TOO LATE,"SAY IT, BEFORE",IT'S TOO LATE
ST20231219_162855_LORD WHAT FOOLS THESE MORTALS BE,LORD WHAT FOOLS,THESE MORTALS BE
ST20231219_162856_WILD SOULS FIND SANCTUARY IN THE EMBRACE OF THE UNKNOWN,WILD SOULS FIND SANCTUARY IN,THE EMBRACE OF THE UNKNOWN
ST20231219_162857_SMILING IS MY FAVORITE,SMILING IS MY,FAVORITE
ST20231219_162858_WANT YOU MORE THAN A MELODY,WANT YOU MORE,THAN A MELODY
ST20231219_162859_DO WHAT MAKES YOUR SOUL HAPPY,DO WHAT MAKES,YOUR SOUL HAPPY
