SKU,Name1,Name2
ST20240121_051132_HONK IF YOU SEE DEAD PEOPLE,HONK IF YOU SEE,DEAD PEOPLE
ST20240121_051133_DEFEND THE WILD EMBRACE THE RESPONSIBILITY,"DEFEND THE WILD,",EMBRACE THE RESPONSIBILITY
ST20240121_051134_IN THE WILD FIND THE TRUE ESSENCE OF FREEDOM,"IN THE WILD, FIND THE",TRUE ESSENCE OF FREEDOM
ST20240121_051135_CONSERVATIONISTS WHERE EVEN THE LIONS CRACK A SMILE,"CONSERVATIONISTS, WHERE EVEN",THE LIONS CRACK A SMILE
ST20240121_051136_IM NOT MADE OF EYES,I'M NOT MADE,OF EYES
ST20240121_051137_WISHING YOU A DAY AS EXCITING AS A STALE DONUT,WISHING YOU A DAY AS,EXCITING AS A STALE DONUT
ST20240121_051138_JUST A GIRL WHO LOVES RINGETTE AND CATS,JUST A GIRL WHO LOVES,RINGETTE AND CATS
ST20240121_051139_YOU CAN NEVER HAVE TOO MANY RC PLANES,YOU CAN NEVER HAVE,TOO MANY RC PLANES
ST20240121_051140_PLEASE LET ME MERGE BEFORE I START CRYING,PLEASE LET ME MERGE,BEFORE I START CRYING
ST20240121_051141_FIRE RED YOU DO NOT YIELD,FIRE RED YOU,DO NOT YIELD
ST20240121_051142_MAJESTIC TAHOE WHERE NATURE PAINTS ITS CANVAS,"MAJESTIC TAHOE, WHERE",NATURE PAINTS ITS CANVAS
ST20240121_051143_DONT MAKE ME USE MY LIFEGUARD VOICE,DON'T MAKE ME USE MY,LIFEGUARD VOICE!
ST20240121_051144_HOLLY JOLLY WISHES TO YOU,"HOLLY, JOLLY",WISHES TO YOU
ST20240121_051145_PRESERVE TAHOES CHARM LET IT BE A BEACON,"PRESERVE TAHOE'S CHARM,",LET IT BE A BEACON
ST20240121_051146_YOU ARE MORE THAN YOUR BODY,YOU ARE MORE,THAN YOUR BODY
ST20240121_051147_YOU ARE DEPRIVING SOME VILLAGE OF THEIR IDIOT,YOU ARE DEPRIVING SOME,VILLAGE OF THEIR IDIOT
ST20240121_051148_TALK TO ME GOOSE,TALK TO,"ME, GOOSE"
ST20240121_051149_DRIVER GETS THE MOST LEGROOM,DRIVER GETS THE,MOST LEGROOM
ST20240121_051150_RACE TIP TOASTER TAKES SHORTCUTS,"RACE TIP, TOASTER",TAKES SHORTCUTS
ST20240121_051151_PRESERVE THE JEWEL CHERISH TAHOES TIMELESS GLOW,"PRESERVE THE JEWEL,",CHERISH TAHOE'S TIMELESS GLOW
ST20240121_051152_DONT HONK AT ME IM PROBABLY ALREADY CRYING,DON'T HONK AT ME I'M,PROBABLY ALREADY CRYING
ST20240121_051153_FLEECE NAVIDAD STAY WARM AND FUZZY,"FLEECE NAVIDAD, STAY",WARM AND FUZZY!
ST20240121_051154_IT ENDS WITH US,IT ENDS,WITH US
ST20240121_051155_YOU IMPRINTED ON MY DAUGHTER,YOU IMPRINTED ON,MY DAUGHTER?
ST20240121_051156_MAY YOUR DAY BE AS SMOOTH AS A SANDPAPER HANDSHAKE,MAY YOUR DAY BE AS SMOOTH,AS A SANDPAPER HANDSHAKE
ST20240121_051157_HE WAS LIKE A FATHER TO ME,HE WAS LIKE A,FATHER TO ME
ST20240121_051158_CHERISH THE WILD NURTURE THE FUTURE,"CHERISH THE WILD,",NURTURE THE FUTURE
ST20240121_051159_YOUR SECRET IS SAFE WITH MY INDIFFERENCE,YOUR SECRET IS SAFE,WITH MY INDIFFERENCE
ST20240121_051200_MAX HELP ME IM FEELING,"MAX, HELP ME...",I'M FEELING!
ST20240121_051201_I RUN BECAUSE I LIKE ICE CREAM,I RUN BECAUSE I,LIKE ICE CREAM
ST20240121_051202_SILLY GOOSE ON THE LOOSE,SILLY GOOSE ON,THE LOOSE!
ST20240121_051203_DO YOU LIKE FISH STICKS JOKE,DO YOU LIKE FISH,STICKS JOKE
ST20240121_051204_THERE IS A DEFIANCE IN BEING A DREAMER,THERE IS A DEFIANCE,IN BEING A DREAMER
ST20240121_051205_TOASTER BEATS TRAFFIC NOT BREAD,"TOASTER, BEATS","TRAFFIC, NOT BREAD"
ST20240121_051206_NO YOUR OTHER LEFT SIDE,NO YOUR OTHER,LEFT SIDE
ST20240121_051207_HONK IF YOU LOVE DILFS,HONK IF YOU,LOVE DILFS
ST20240121_051208_I WANT TO RIDE MY BICYCLE,I WANT TO RIDE,MY BICYCLE
ST20240121_051209_DONT HONK AT ME IDONT LIKE WHAT IM DOING EITHER,DON'T HONK AT ME IDON'T,LIKE WHAT I'M DOING EITHER
ST20240121_051210_DONT TREAD ON ME,DONT TREAD,ON ME
ST20240121_051211_MAKE TODAY YOUR BITCH,MAKE TODAY,YOUR BITCH
ST20240121_051212_NO COMPLAINING ABOUT THE SNACKS,NO COMPLAINING,ABOUT THE SNACKS
ST20240121_051213_ITS THAT TIME AGAIN,IT'S THAT,TIME AGAIN!
ST20240121_051214_CHARIOT OF THE GODS FREE LIFTS,CHARIOT OF THE,"GODS, FREE LIFTS"
ST20240121_051215_NEVER MEMORIZE SOMETHING THAT YOU CAN LOOK UP,NEVER MEMORIZE SOMETHING,THAT YOU CAN LOOK UP
ST20240121_051216_DO YOU LIKE FISH STICKS,DO YOU LIKE,FISH STICKS?
ST20240121_051217_THE BOY SAW THE COMET,THE BOY SAW,THE COMET
ST20240121_051218_DONT MAKE ME USE MY RECEPTIONIST VOICE,DON'T MAKE ME USE MY,RECEPTIONIST VOICE
ST20240121_051219_I LITERALLY HAVE NO IDEA WHO I AM,I LITERALLY HAVE,NO IDEA WHO I AM
ST20240121_051220_2 GOOD OL BOYS BEHIND THE WHEEL,2 GOOD OL BOYS,BEHIND THE WHEEL
