SKU,Name1,Name2
ST20231224_134834_WORLDS OKAYEST ORTHOPEDIC SURGEON,WORLD'S OKAYEST,ORTHOPEDIC SURGEON
ST20231224_134835_NO PLOT JUST VIBES,NO PLOT,JUST VIBES
ST20231224_134836_DONT MAKE ME USE MY DEBATE VOICE,DON'T MAKE ME USE,MY DEBATE VOICE
ST20231224_134837_TO THE MOON AND BACK,TO THE MOON,AND BACK
ST20231224_134838_ITS NOT CRIMINAL TO BE AN INDIVIDUAL,IT'S NOT CRIMINAL TO,BE AN INDIVIDUAL!
ST20231224_134839_HOLD ON LET ME OVERTHINK THIS,HOLD ON LET ME,OVERTHINK THIS
ST20231224_134840_EXPLORING THE WILD ECHOES OF THE HEARTS CALLING,EXPLORING THE WILD ECHOES,OF THE HEART'S CALLING
ST20231224_134841_IN TAHOES EMBRACE FIND SERENITYS TIMELESS TOUCH,"IN TAHOE'S EMBRACE, FIND",SERENITY'S TIMELESS TOUCH
ST20231224_134842_DONT MAKE ME USE MY HOTEL RECEPTIONIST VOICE,DON'T MAKE ME USE MY,HOTEL RECEPTIONIST VOICE
ST20231224_134843_GUARDIANS OF THE BLUE STEWARDS OF TAHOES SOUL,"GUARDIANS OF THE BLUE,",STEWARDS OF TAHOE'S SOUL
ST20231224_134844_JUST A BOY WHO LOVES WITCHES,JUST A BOY WHO,LOVES WITCHES
ST20231224_134845_WE GOT WORK TO DO,WE GOT,WORK TO DO
ST20231224_134846_WISHING YOU A DAY AS RELAXING AS A ROOT CANAL,WISHING YOU A DAY AS,RELAXING AS A ROOT CANAL
ST20231224_134847_CHERISH THE CLARITY DEFEND THE DIVERSITY TAHOES PLEDGE,"CHERISH THE CLARITY, DEFEND","THE DIVERSITY, TAHOE'S PLEDGE"
ST20231224_134848_WORLDS OKAYEST CAT PARENT,WORLD'S OKAYEST,CAT PARENT
ST20231224_134849_HAVE YOURSELF A MERRY,HAVE,YOURSELF A MERRY
ST20231224_134850_YOU ARE DOING GREAT,YOU ARE,DOING GREAT
ST20231224_134851_ANNOYANCE LEVEL OFF THE CHARTS,"ANNOYANCE LEVEL,",OFF THE CHARTS
ST20231224_134852_THE FAMILY YOU MAKE,THE FAMILY,YOU MAKE
ST20231224_134853_DONT HONK AT ME IF YOU EXIST,DON'T HONK AT ME,IF YOU EXIST
ST20231224_134854_RIDE SHARE FOR SUPERHEROES CAPES INCLUDED,RIDE-SHARE FOR,"SUPERHEROES, CAPES INCLUDED"
ST20231224_134855_DONT MAKE ME USE MY PHD VOICE,DON'T MAKE ME USE,MY PHD VOICE
