SKU,Name1,Name2
ST20240107_092151_DONT FOLLOW ME I DO STUPID THINGS,DON'T FOLLOW ME I,DO STUPID THINGS
ST20240107_092152_DONT FOLLOW ME IM LOST TOO,DON'T FOLLOW ME,I'M LOST TOO
ST20240107_092153_DONT FOLLOW ME YOU WONT MAKE IT,DON'T FOLLOW ME,YOU WON'T MAKE IT
ST20240107_092154_DONT FOLLOW ME FOLLOW JESUS,DON'T FOLLOW ME,FOLLOW JESUS
ST20240107_092155_DONT FOLLOW ME IM A STARFISH,DON'T FOLLOW ME,I'M A STARFISH
ST20240107_092156_DONT FOLLOW ME FOLLOW MY,DON'T FOLLOW,ME FOLLOW MY
ST20240107_092157_DONT FOLLOW ME I RUN INTO TREES,DON'T FOLLOW ME I,RUN INTO TREES
ST20240107_092158_DONT FOLLOW ME IM PROBABLY LOST,DON'T FOLLOW ME,I'M PROBABLY LOST
ST20240107_092159_DONT FOLLOW ME IM ALSO LOST,DON'T FOLLOW ME,I'M ALSO LOST
ST20240107_092200_DONT FOLLOW ME I DO CRAZY THINGS,DON'T FOLLOW ME I,DO CRAZY THINGS
ST20240107_092201_DONT FOLLOW ME YOULL GET STUCK,DON'T FOLLOW ME,YOU'LL GET STUCK
ST20240107_092202_DONT FOLLOW ME GOT FAKE LIPS,DON'T FOLLOW ME,GOT FAKE LIPS
ST20240107_092203_DONT FOLLOW ME I WANT TO BE ALONE,DON'T FOLLOW ME I,WANT TO BE ALONE!
ST20240107_092204_DONT FOLLOW ME I DO STUPID SHIT,DON'T FOLLOW ME I,DO STUPID SHIT
ST20240107_092205_DONT FOLLOW ME I AM NOT TREND,DON'T FOLLOW ME I,AM NOT TREND
ST20240107_092206_DONT FOLLOW ME IM ABOUT TO DO A BUNCH OF STUPID,DON'T FOLLOW ME I'M ABOUT,TO DO A BUNCH OF STUPID
ST20240107_092207_DONT FOLLOW ME I ALWAYS DO STUPID STUFF,DON'T FOLLOW ME I,ALWAYS DO STUPID STUFF.
ST20240107_092208_DONT FOLLOW ME YOU DONT LOVE ME,DON'T FOLLOW ME,YOU DON'T LOVE ME
ST20240107_092209_DONT FOLLOW ME I HAVE NO IDEA WHERE IM GOING,DON'T FOLLOW ME I HAVE NO,IDEA WHERE I'M GOING!
ST20240107_092210_ADULTING IS A SCAM,ADULTING IS,A SCAM
ST20240107_092211_LIVING FOR THE MEMES NOT THE DREAMS,LIVING FOR THE,"MEMES, NOT THE DREAMS"
ST20240107_092212_SLAYING THE ADULTING GAME BUT BARELY,SLAYING THE ADULTING,"GAME, BUT BARELY"
ST20240107_092213_MY SENSE OF HUMOR IS AS DRY AS MY SHAMPOO,MY SENSE OF HUMOR IS,AS DRY AS MY SHAMPOO
ST20240107_092214_IM NOT A CONTROL FREAK BUT YOU SHOULD DO IT MY WAY,"I'M NOT A CONTROL FREAK, BUT",YOU SHOULD DO IT MY WAY
ST20240107_092216_IM NOT LAZY IM IN ENERGY SAVING MODE,"I'M NOT LAZY, I'M IN",ENERGY-SAVING MODE
ST20240107_092217_IM NOT ANTISOCIAL IM SELECTIVELY AVOIDING STUPIDITY,"I'M NOT ANTISOCIAL, I'M",SELECTIVELY AVOIDING STUPIDITY
ST20240107_092218_CANCELLED MY SUBSCRIPTION TO ADULTHOOD,CANCELLED MY,SUBSCRIPTION TO ADULTHOOD
ST20240107_092219_EATING SNACKS AND IGNORING TEXTS,EATING SNACKS AND,IGNORING TEXTS
ST20240107_092220_BEING AN ADULT IS THE WORST DECISION EVER,BEING AN ADULT IS THE,WORST DECISION EVER
ST20240107_092221_MY SUPERPOWER IS OVERTHINKING,MY SUPERPOWER IS,OVERTHINKING
ST20240107_092222_IM NOT ARGUING IM JUST EXPLAINING WHY IM RIGHT,"I'M NOT ARGUING, I'M JUST",EXPLAINING WHY I'M RIGHT
ST20240107_092223_WIFI STRONGER THAN MY RELATIONSHIPS,WIFI STRONGER THAN,MY RELATIONSHIPS
ST20240107_092224_IM NOT RUDE IM JUST BRUTALLY HONEST,"I'M NOT RUDE, I'M",JUST BRUTALLY HONEST
ST20240107_092225_LOWKEY STRESSING HIGHKEY BLESSING,"LOWKEY STRESSING,",HIGHKEY BLESSING
ST20240107_092226_CHILLIN LIKE A VILLAIN,CHILLIN' LIKE,A VILLAIN
ST20240107_092227_NAPPING IS A SPORT AND IM AN ATHLETE,"NAPPING IS A SPORT,",AND I'M AN ATHLETE
ST20240107_092228_SAVAGE AF BUT IN A CUTE WAY,"SAVAGE AF, BUT",IN A CUTE WAY
ST20240107_092229_EATING MY FEELINGS ONE SNACK AT A TIME,"EATING MY FEELINGS,",ONE SNACK AT A TIME
ST20240107_092230_SARCASM IS MY ONLY DEFENSE,SARCASM IS MY,ONLY DEFENSE
ST20240107_092231_PIZZA IS MY LOVE LANGUAGE,PIZZA IS MY,LOVE LANGUAGE
ST20240107_092232_STRESSED BLESSED AND COFFEE OBSESSED,"STRESSED, BLESSED,",AND COFFEE OBSESSED
ST20240107_092233_RUNNING ON CAFFEINE AND DRY SHAMPOO,RUNNING ON CAFFEINE,AND DRY SHAMPOO
ST20240107_092234_CTRL+Z CANT FIX MY LIFE,CTRL+Z CAN'T,FIX MY LIFE
ST20240107_092235_HATERS GONNA HATE POTATOES GONNA POTATE,"HATERS GONNA HATE,",POTATOES GONNA POTATE
ST20240107_092236_FLEXING LIKE MY WI FI SIGNAL,FLEXING LIKE MY,WI-FI SIGNAL
ST20240107_092237_LIFES A MESS AND SO IS MY HAIR,"LIFE'S A MESS, AND",SO IS MY HAIR
ST20240107_092238_MY ROOMS A MESS BUT SO IS MY LIFE,"MY ROOM'S A MESS,",BUT SO IS MY LIFE
ST20240107_092239_MOOD SWINGS AND CHICKEN WINGS,MOOD SWINGS AND,CHICKEN WINGS
ST20240107_092240_PROCRASTINATING LIKE THERES NO TOMORROW,PROCRASTINATING LIKE,THERE'S NO TOMORROW
ST20240107_092241_CAFFEINE AND SARCASM MY ONLY FILTERS,CAFFEINE AND,"SARCASM, MY ONLY FILTERS"
ST20240107_092242_IM NOT LAZY IM IN ENERGY SAVING MODE INDEFINITELY,"I'M NOT LAZY, I'M IN","ENERGY-SAVING MODE, INDEFINITELY"
ST20240107_092243_DID I ASK NO BUT GO OFF,"DID I ASK? NO,",BUT GO OFF
ST20240107_092244_IM NOT A PROCRASTINATOR IM ON A BREAK FROM PRODUCTIVITY,"I'M NOT A PROCRASTINATOR, I'M",ON A BREAK FROM PRODUCTIVITY
ST20240107_092245_THATS SUS GOTTA VOTE THEM OFF,"THAT'S SUS, GOTTA",VOTE THEM OFF
ST20240107_092246_YOU JUST GOT PASSED BY A GRANDPA,YOU JUST GOT,PASSED BY A GRANDPA
ST20240107_092247_YOU JUST GOT PASSED BY A PRETTY GIRL,YOU JUST GOT PASSED,BY A PRETTY GIRL
ST20240107_092248_YOU JUST GOT PASSED BY A FURRY,YOU JUST GOT,PASSED BY A FURRY
ST20240107_092249_YOU JUST GOT PASSED BY A BAD DRIVER,YOU JUST GOT PASSED,BY A BAD DRIVER
ST20240107_092250_YOU JUST GOT PASSED MY A CHICK,YOU JUST GOT,PASSED MY A CHICK
ST20240107_092251_YOU JUST GOT PASSED BY A NURSE,YOU JUST GOT,PASSED BY A NURSE
ST20240107_092252_YOU JUST GOT PASSED BY A MECHANIC,YOU JUST GOT,PASSED BY A MECHANIC
