SKU,Name1,Name2
ST20240125_215621_YOU CANT FIX WHAT YOU ALREADY BROKE,YOU CAN'T FIX WHAT,YOU ALREADY BROKE
ST20240125_215622_YOU CANT FIX STUPID BUT DUCT TAPE KEEPS IT QUIET,YOU CAN'T FIX STUPID BUT,DUCT TAPE KEEPS IT QUIET
ST20240125_215623_YOU CANT FIX STUPID,YOU CAN'T,FIX STUPID
ST20240125_215624_I AM A NURSE I CANT PROMISE,I AM A NURSE I,CAN'T PROMISE
ST20240125_215625_IF PAPA CANT FIX IT WERE ALL SCREWED,IF PAPA CAN'T FIX IT,WE'RE ALL SCREWED
ST20240125_215626_YOU CANT FIX STUPID BUT YOU CAN VOTE IT OUT,YOU CAN'T FIX STUPID BUT,YOU CAN VOTE IT OUT
ST20240125_215627_IF YOU CANT FIX CORRUPTION THEN VOTE,IF YOU CAN'T FIX,CORRUPTION THEN VOTE
ST20240125_215628_YOU CANT FIX STUPID BUT YOU CAN CHOKE IT,YOU CAN'T FIX STUPID,BUT YOU CAN CHOKE IT
ST20240125_215629_IM A FIRE FIGHTER I CANT FIX STUPID BUT I CAN FIX WHAT STUPID DOES,I'M A FIRE FIGHTER I CAN'T FIX,STUPID BUT I CAN FIX WHAT STUPID DOES
ST20240125_215631_YOU CANT FIX STUPID BUT YOU CAN DIVORCE IT,YOU CAN'T FIX STUPID,BUT YOU CAN DIVORCE IT
ST20240125_215632_THEY SAY YOU CANT FIX STUPID TURNS OUT YOU CANT MAKE IT WEAR A MASK EITHER,THEY SAY YOU CAN'T FIX STUPID TURNS OUT,YOU CAN'T MAKE IT WEAR A MASK EITHER
ST20240125_215633_HOW TO REMOVE COFFEE STAINS FROM ANYTHING,HOW TO REMOVE COFFEE,STAINS FROM ANYTHING?
ST20240125_215634_YOU CANT FIX ME,YOU CAN'T,FIX ME
ST20240125_215635_TOLD YOU SO YOU CANT FIX STUPID,"TOLD YOU SO, YOU",CAN'T FIX STUPID!
ST20240125_215636_YOU CANT FIX STUPID BUT THE HATS MAKE IT EASY TO IDENTIFY,YOU CAN'T FIX STUPID BUT THE,HATS MAKE IT EASY TO IDENTIFY
ST20240125_215637_I CANT FIX YOU AND I CANT SAVE YOU,I CAN'T FIX YOU AND,I CAN'T SAVE YOU
ST20240125_215638_YOU CANT SCARE ME I AM MARRIED TO A MECHANIC,"YOU CAN'T SCARE ME, I AM",MARRIED TO A MECHANIC
ST20240125_215639_YOU CANT FIX STUPID NOT EVEN WITH DUCT TAPE,"YOU CAN'T FIX STUPID,",NOT EVEN WITH DUCT TAPE
ST20240125_215640_YOU CANT FIX CRAZY BUT YOU CAN CODE IT,YOU CAN'T FIX CRAZY,BUT YOU CAN CODE IT
ST20240125_215641_CAN'T FIX STUPID BUT THIS IS THE RIGHT TOOL FOR THE JOB,"CAN'T FIX STUPID, BUT THIS IS",THE RIGHT TOOL FOR THE JOB
ST20240125_215642_YOU CANT FIX STUPID BUT YOU CAN SEDATE IT,YOU CAN'T FIX STUPID,BUT YOU CAN SEDATE IT
ST20240125_215643_THEY SAY YOU CANT FIX STUPID TURNS OUT YOU CANT QUARANTINE IT EITHER,THEY SAY YOU CAN'T FIX STUPID TURNS,OUT YOU CAN'T QUARANTINE IT EITHER
ST20240125_215644_NOTHING IS REALLY BROKEN UNTIL YOUR DAD CANT FIX IT,NOTHING IS REALLY BROKEN,UNTIL YOUR DAD CAN'T FIX IT
ST20240125_215645_YOU HAVE GOT TO SHOOT OTHERWISE YOU CAN'T SCORE,"YOU HAVE GOT TO SHOOT,",OTHERWISE YOU CAN'T SCORE
ST20240125_215646_YOU CANT BEAT THE ROCK,YOU CAN'T,BEAT THE ROCK
ST20240125_215647_DUCT TAPE CANT FIX STUPID BUT IT CAN MUFFLE SOUND,DUCT TAPE CAN'T FIX STUPID,BUT IT CAN MUFFLE SOUND
ST20240125_215648_I CANT FIX YOU IM CRAZY TOO,I CAN'T FIX YOU,I'M CRAZY TOO
ST20240125_215649_IF YOU CANT FIX IT DONT BREAK IT,IF YOU CAN'T FIX IT,DON'T BREAK IT
ST20240125_215650_YOU CANT FIX THE WORLD IF ALL YOU HAVE IS A HAMMER,YOU CAN'T FIX THE WORLD IF,ALL YOU HAVE IS A HAMMER
ST20240125_215651_I CANT FIX STUPID BUT IM A FAIRLY,I CAN'T FIX STUPID,BUT I'M A FAIRLY
ST20240125_215652_IM NOT IGNORING YOU IM A PLUMBER AND I CANT HEAR SHIT ANYMORE,I'M NOT IGNORING YOU I'M A PLUMBER,AND I CAN'T HEAR SHIT ANYMORE
ST20240125_215653_YOU CANT FIX SPINELESS GET DIVORCED,YOU CAN'T FIX,SPINELESS GET DIVORCED
ST20240125_215654_YOU CANT FIX STUPID BUT YOU CAN ENJOY IT,YOU CAN'T FIX STUPID,BUT YOU CAN ENJOY IT
ST20240125_215655_ANYTHING YOU SAY BEFORE COFFEE CANT BE HELD AGAINST YOU,ANYTHING YOU SAY BEFORE,"COFFEE, CAN'T BE HELD AGAINST YOU"
ST20240125_215656_DUCT TAPE YOU CANT FIX STUPID BUT YOU CAN MUFFLE THE SOUND,DUCT TAPE YOU CAN'T FIX STUPID,BUT YOU CAN MUFFLE THE SOUND
ST20240125_215657_YOU CANT FIX CRAZY BUT YOU CAN CODE IT IF ITS DOCUMENTED,YOU CAN'T FIX CRAZY BUT YOU CAN,CODE IT IF IT'S DOCUMENTED
ST20240125_215658_YOU CANT FIX STUPID BUT YOU CAN VOTE IT OUT,YOU CAN'T FIX STUPID BUT,YOU CAN VOTE IT OUT
ST20240125_215659_IF DAD CANT FIX IT NO ONE CAN,IF DAD CAN'T FIX,IT NO ONE CAN
ST20240125_215700_IF YOU CANT FIX IT WITH A HAMMER YOUVE GOT AN ELECTRICAL PROBLEM,"IF YOU CAN'T FIX IT WITH A HAMMER,",YOU'VE GOT AN ELECTRICAL PROBLEM
ST20240125_215701_I CANT FIX STUPID BUT I CAN HELP YOU SEE IT,I CAN'T FIX STUPID BUT I,CAN HELP YOU SEE IT
ST20240125_215702_YOU CANT FIX STUPID BUT YOU CAN NUMB IT,YOU CAN'T FIX STUPID,BUT YOU CAN NUMB IT
ST20240125_215703_YOU CANT FIX SOMEONE THAT CHOOSES TO BE BROKEN,YOU CAN'T FIX SOMEONE,THAT CHOOSES TO BE BROKEN
ST20240125_215704_I CAN BE CHEERFUL ABOUT YOU BUT I CANT FIX YOU,I CAN BE CHEERFUL ABOUT,"YOU BUT, I CAN'T FIX YOU"
ST20240125_215705_YOU CANT FIX YOURSELF BY BREAKING SOMEONE ELSE,YOU CAN'T FIX YOURSELF BY,BREAKING SOMEONE ELSE
ST20240125_215706_CANT HEAR YOU IM GAMING HEADSET,CAN'T HEAR YOU I'M,GAMING HEADSET
ST20240125_215707_NOTHING A SPELL CANT FIX,NOTHING A,SPELL CAN'T FIX
ST20240125_215708_YOU CANT FIX STUPID I AM LIVING PROOF,YOU CAN'T FIX STUPID,I AM LIVING PROOF
ST20240125_215709_YOU CANT FIX STUPID BUT YOU CAN TRACE THEIR FUNDS,YOU CAN'T FIX STUPID BUT,YOU CAN TRACE THEIR FUNDS
ST20240125_215710_YOU CANT FIX ME IM NOT BROKEN,YOU CAN'T FIX ME,I'M NOT BROKEN
ST20240125_215711_I CANT FIX STUPID BUT I CAN SEDATE IT,"I CAN'T FIX STUPID,",BUT I CAN SEDATE IT
ST20240125_215712_I CANT FIX STUPID BUT I CAN CALM HIM DOWN,I CAN'T FIX STUPID BUT,I CAN CALM HIM DOWN
ST20240125_215713_YOU CANT FIX STUPID BUT YOU CAN VOTE BLUE OUT,YOU CAN'T FIX STUPID BUT,YOU CAN VOTE BLUE OUT
ST20240125_215714_DUCT TAPE CANT FIX STUPID BUT CAN MUFFLE THE SOUND,DUCT TAPE CAN'T FIX STUPID,BUT CAN MUFFLE THE SOUND
ST20240125_215715_YOU CAN MEDICATE CRAZY BUT YOU CANT FIX STUPID,YOU CAN MEDICATE CRAZY,BUT YOU CAN'T FIX STUPID
ST20240125_215716_ICU NURSE CANT FIX STUPID BUT CAN SEDATE IT,ICU NURSE CAN'T FIX,STUPID BUT CAN SEDATE IT
ST20240125_215717_YOU CANT FIX SOMETHING THAT ISNT BROKEN,YOU CAN'T FIX,SOMETHING THAT ISN'T BROKEN
ST20240125_215718_BABE LETS FIX THIS I CANT LOSE YOU,BABE LET'S FIX THIS,I CAN'T LOSE YOU
ST20240125_215719_ANESTHETIST NURSES CANT FIX STUPID BUT CAN MAKE YOU SLEEP,ANESTHETIST NURSES CAN'T FIX,STUPID BUT CAN MAKE YOU SLEEP
ST20240125_215720_DONT COMPLAIN FIX IT IF YOU CANT FIX IT DONT COMPAIN,"DON'T COMPLAIN, FIX IT. IF YOU","CAN'T FIX IT, DON'T COMPAIN."
